model,condition,task,mean,std
pca,full,cell_type,0.9364112565517934,0.002898890889092484
baseline,full,cell_type,0.8597987997097215,0.00830974522224238
dc_tfact,full,cell_type,0.9061920140214456,1.1102230246251565e-16
dc_tfact_pca,full,cell_type,0.8957687891831824,0.0019140705734472228
grn_soft:0.001,full,cell_type,0.7616792993955052,0.013712887534934347
grn_real,full,cell_type,0.8554945222853464,0.004662484156600506
grn_rewired,full,cell_type,0.8377254452675214,0.0030170559219949585
pca,lowdata:8,cell_type,0.7603634354692974,0.019020311639145637
baseline,lowdata:8,cell_type,0.6958852057459118,0.020629017044432752
dc_tfact,lowdata:8,cell_type,0.7630189481258878,0.01781892150143012
dc_tfact_pca,lowdata:8,cell_type,0.7392855820642198,0.018488568155475935
grn_soft:0.001,lowdata:8,cell_type,0.6126988809111819,0.012116721220970024
grn_real,lowdata:8,cell_type,0.6471900281995479,0.017858325473565015
grn_rewired,lowdata:8,cell_type,0.6585151609595941,0.012346310202052613
pca,noise:0.3,cell_type,0.919060775924247,0.004054768150152169
baseline,noise:0.3,cell_type,0.8590714651684919,0.015012222015215631
dc_tfact,noise:0.3,cell_type,0.8756913598208375,0.007654091636265822
dc_tfact_pca,noise:0.3,cell_type,0.8490089588462922,0.006460301288235838
grn_soft:0.001,noise:0.3,cell_type,0.8032648561368535,0.009437376768545318
grn_real,noise:0.3,cell_type,0.7810878987579019,0.01112299324117277
grn_rewired,noise:0.3,cell_type,0.7487197710829214,0.005686198478200754
pca,full,disease,0.7145634965257491,0.0058545655758418065
baseline,full,disease,0.5877736152239811,0.008084668329013826
dc_tfact,full,disease,0.6594146711028764,0.0
dc_tfact_pca,full,disease,0.6733298498250058,0.0030203421400052896
grn_soft:0.001,full,disease,0.499092490663231,0.040589903807839854
grn_real,full,disease,0.653824609817868,0.008747544403580151
grn_rewired,full,disease,0.6464799809705003,0.01597204632844822
pca,lowdata:8,disease,0.44068194612609385,0.03066450843549216
baseline,lowdata:8,disease,0.3857444135815072,0.037096365726647804
dc_tfact,lowdata:8,disease,0.4390380679338037,0.03354849123270406
dc_tfact_pca,lowdata:8,disease,0.46172645506049115,0.021858944528276875
grn_soft:0.001,lowdata:8,disease,0.3759400800225226,0.013049094970911213
grn_real,lowdata:8,disease,0.4174310127322578,0.026376174882875077
grn_rewired,lowdata:8,disease,0.4348757538951357,0.0192265918145754
pca,noise:0.3,disease,0.7037963560072006,0.006743762993047847
baseline,noise:0.3,disease,0.6113700438662488,0.0059226421060375465
dc_tfact,noise:0.3,disease,0.6093521859229757,0.008777471802596413
dc_tfact_pca,noise:0.3,disease,0.6693100707695897,0.009264493612286673
grn_soft:0.001,noise:0.3,disease,0.551355976241156,0.020561413229681302
grn_real,noise:0.3,disease,0.6335642965226601,0.004624614017206632
grn_rewired,noise:0.3,disease,0.5953185574400052,0.014448183327782112
