model,condition,mean,std
pca,full,0.8672384189597812,0.00829078018647022
baseline,full,0.7839502991337693,0.019290002819295417
grn_real,full,0.704440162787944,0.004920130344222411
grn_rewired,full,0.6614675753063602,0.0066764910381679685
grn_decoder,full,0.7383013756176138,0.011039475511066132
grn_decoder_rewired,full,0.7152148846452252,0.018658933086347924
grn_symmetric,full,0.6753528956066758,0.026863213619296722
grn_symmetric_rewired,full,0.6193547286117843,0.01023797028594375
pca,lowdata:8,0.6405187268525844,0.017194297035334073
baseline,lowdata:8,0.6639009999677115,0.006734070319675123
grn_real,lowdata:8,0.5817552665963398,0.009652764839969848
grn_rewired,lowdata:8,0.563718526819662,0.0032075254117673708
grn_decoder,lowdata:8,0.6122208481252618,0.008819626501357038
grn_decoder_rewired,lowdata:8,0.5702904737833191,0.0033882289246596775
grn_symmetric,lowdata:8,0.5567643393927836,0.007038882221753815
grn_symmetric_rewired,lowdata:8,0.5015934117776814,0.03251527094689768
pca,noise:0.3,0.762471167673438,0.01664445380605147
baseline,noise:0.3,0.733009885844767,0.03009639361567972
grn_real,noise:0.3,0.626484542976803,0.020154184395401845
grn_rewired,noise:0.3,0.5382441837870114,0.012218002552064282
grn_decoder,noise:0.3,0.6563201553950421,0.03286992894441965
grn_decoder_rewired,noise:0.3,0.6317983260480681,0.005800448966106209
grn_symmetric,noise:0.3,0.5951838518856063,0.024441883702967352
grn_symmetric_rewired,noise:0.3,0.48814445521341926,0.012621809357695045
