model,condition,task,mean,std
baseline,full,cell_type,0.7906888881672165,0.010143536488737837
grn_real_A,full,cell_type,0.7884174910057264,0.007814094402329663
grn_rewired_A,full,cell_type,0.7666867939372315,0.006507128516079874
grn_real_AB,full,cell_type,0.7452649819507404,0.0075807380900259624
grn_real,full,cell_type,0.699213367907674,0.013625656042805023
baseline,lowdata:8,cell_type,0.6475083032665075,0.028301497344531357
grn_real_A,lowdata:8,cell_type,0.6710861552734619,0.023510548103427287
grn_rewired_A,lowdata:8,cell_type,0.6863431117279146,0.008682487476578238
grn_real_AB,lowdata:8,cell_type,0.5863387984838382,0.0202162245231971
grn_real,lowdata:8,cell_type,0.5530388263978527,0.027114825591712577
baseline,noise:0.3,cell_type,0.7425195889944847,0.0019507504256461305
grn_real_A,noise:0.3,cell_type,0.7046889167601915,0.002267895834391964
grn_rewired_A,noise:0.3,cell_type,0.6545635019721707,4.0948044044031295e-05
grn_real_AB,noise:0.3,cell_type,0.638434058488238,0.005760822883113914
grn_real,noise:0.3,cell_type,0.6088878920643626,0.008355379284171904
