model,condition,mean,std
pca,full,0.8694775688707579,0.006993353128624513
baseline,full,0.7854926116328279,0.0150706586461519
grn_real,full,0.7135562637110624,0.012627970651148469
grn_rewired,full,0.6648571305752621,0.012336299390097767
grn_soft:0.001,full,0.7526964563372693,0.010423219217602173
dc_tfact,full,0.8472387861880122,0.008970603323711157
dc_tfact_rewired,full,0.8038016731806205,0.009715668439048288
dc_tfact_collectri,full,0.86861727432068,0.011672849616475111
dc_tfact_pca,full,0.7826510100838274,0.008987438957665453
rand_proj,full,0.7753846043877004,0.02466005364449038
pca,lowdata:4,0.5038428183731661,0.03195408828675885
baseline,lowdata:4,0.5432550676508012,0.03619733254618936
grn_real,lowdata:4,0.4978321383527195,0.03898235378012724
grn_rewired,lowdata:4,0.46803304956931646,0.03107771634820985
grn_soft:0.001,lowdata:4,0.5417487284380217,0.027344449616247705
dc_tfact,lowdata:4,0.5976306939323819,0.04317308500527888
dc_tfact_rewired,lowdata:4,0.5573459609594674,0.04274294071494555
dc_tfact_collectri,lowdata:4,0.642884755167458,0.03146734049726705
dc_tfact_pca,lowdata:4,0.4887141233639749,0.020723671820388694
rand_proj,lowdata:4,0.5010558992407114,0.044656385281506006
pca,lowdata:8,0.6324579891864771,0.019904308992755436
baseline,lowdata:8,0.660531678217337,0.015567036311456062
grn_real,lowdata:8,0.591188527870827,0.017389023596672173
grn_rewired,lowdata:8,0.5687122524713586,0.016068051233323666
grn_soft:0.001,lowdata:8,0.6408041902579257,0.017977373811759994
dc_tfact,lowdata:8,0.6855363750342077,0.0269290925222332
dc_tfact_rewired,lowdata:8,0.6609787932655828,0.023561847621199353
dc_tfact_collectri,lowdata:8,0.7460830200873546,0.023691649324449837
dc_tfact_pca,lowdata:8,0.6299465807288396,0.02753229684190009
rand_proj,lowdata:8,0.6240380629880482,0.030607401949401362
pca,lowdata:16,0.7821207831608423,0.012631575930211298
baseline,lowdata:16,0.7434588060259887,0.014287965773943456
grn_real,lowdata:16,0.6681155091698906,0.013592888680946274
grn_rewired,lowdata:16,0.6376592267087893,0.02452665149898629
grn_soft:0.001,lowdata:16,0.7294598426685113,0.010043462638686771
dc_tfact,lowdata:16,0.774483942178679,0.014343934100249632
dc_tfact_rewired,lowdata:16,0.7447162332808852,0.015011141121198326
dc_tfact_collectri,lowdata:16,0.8209823431012285,0.020158175379908046
dc_tfact_pca,lowdata:16,0.7480865088128246,0.012027241588767397
rand_proj,lowdata:16,0.718881157242821,0.019752687102503674
pca,noise:0.3,0.7697532691594611,0.017661033599724794
baseline,noise:0.3,0.7324033139890724,0.027604831653558873
grn_real,noise:0.3,0.6148451317954615,0.02114081300890942
grn_rewired,noise:0.3,0.5586903841944089,0.028904246220278196
grn_soft:0.001,noise:0.3,0.7152900778837084,0.010774917216582794
dc_tfact,noise:0.3,0.7204459744360673,0.02000368474697315
dc_tfact_rewired,noise:0.3,0.7027345466596241,0.038163725603585955
dc_tfact_collectri,noise:0.3,0.7842006470997183,0.023872927864057633
dc_tfact_pca,noise:0.3,0.6858049176829363,0.01365387945250041
rand_proj,noise:0.3,0.6481755115247644,0.025727349884680614
pca,noise:0.1,0.6831304995857157,0.02006417177820019
baseline,noise:0.1,0.672143801736619,0.020262855402763572
grn_real,noise:0.1,0.5163417782658057,0.01615379806681395
grn_rewired,noise:0.1,0.4625698931480867,0.019615175454109755
grn_soft:0.001,noise:0.1,0.6665508573865823,0.014470371780826148
dc_tfact,noise:0.1,0.6274196742419922,0.023106580051793158
dc_tfact_rewired,noise:0.1,0.5975816429314342,0.007851121983379988
dc_tfact_collectri,noise:0.1,0.6928863110795268,0.01847693237756607
dc_tfact_pca,noise:0.1,0.5806388233713311,0.030048067282245797
rand_proj,noise:0.1,0.5423046651319097,0.00823924613128106
grn_random,full,0.7541023273083038,0.013227154281700747
grn_sign_shuffled,full,0.7002249816918547,0.004105034428107915
grn_soft:0.01,full,0.62311279232446,0.01680063268272623
