model,condition,mean,std
pca,full,0.8694775688707578,0.006993353128624513
baseline,full,0.7855638653369384,0.007823709955422977
grn_real,full,0.7151570853638964,0.01266851104210813
grn_rewired,full,0.6695979733631907,0.011108384505891637
grn_soft:0.001,full,0.763827839862784,0.00935363196290165
dc_tfact,full,0.8472387861880122,0.008970603323711157
dc_tfact_rewired,full,0.8038016731806206,0.009715668439048288
dc_tfact_collectri,full,0.8686172743206798,0.011672849616475111
dc_tfact_pca,full,0.7826510100838273,0.008987438957665453
rand_proj,full,0.7753846043877004,0.02466005364449038
pca,lowdata:4,0.5038428183731661,0.03195408828675885
baseline,lowdata:4,0.5687692629674969,0.02049966080782257
grn_real,lowdata:4,0.502429877824008,0.04246943123116137
grn_rewired,lowdata:4,0.4677557834596242,0.032944441941981956
grn_soft:0.001,lowdata:4,0.558594866470847,0.01736829637033205
dc_tfact,lowdata:4,0.597630693932382,0.04317308500527888
dc_tfact_rewired,lowdata:4,0.5573459609594675,0.04274294071494555
dc_tfact_collectri,lowdata:4,0.6428847551674581,0.03146734049726705
dc_tfact_pca,lowdata:4,0.4887141233639749,0.020723671820388694
rand_proj,lowdata:4,0.5010558992407115,0.044656385281506006
pca,lowdata:8,0.632457989186477,0.019904308992755436
baseline,lowdata:8,0.6762028102273336,0.019265186802645537
grn_real,lowdata:8,0.5968520652741641,0.01734383949594338
grn_rewired,lowdata:8,0.5770993538466257,0.01660701514898084
grn_soft:0.001,lowdata:8,0.6423663673000595,0.01659271690405971
dc_tfact,lowdata:8,0.6855363750342078,0.0269290925222332
dc_tfact_rewired,lowdata:8,0.6609787932655828,0.023561847621199353
dc_tfact_collectri,lowdata:8,0.7460830200873544,0.023691649324449837
dc_tfact_pca,lowdata:8,0.6299465807288397,0.02753229684190009
rand_proj,lowdata:8,0.6240380629880483,0.030607401949401362
pca,lowdata:16,0.7821207831608424,0.012631575930211298
baseline,lowdata:16,0.7409032252367792,0.012674785309058197
grn_real,lowdata:16,0.6692904841926246,0.014776259081248497
grn_rewired,lowdata:16,0.6392397433140736,0.02284390247565738
grn_soft:0.001,lowdata:16,0.7259198177416175,0.008984701758497428
dc_tfact,lowdata:16,0.7744839421786791,0.014343934100249632
dc_tfact_rewired,lowdata:16,0.7447162332808853,0.015011141121198326
dc_tfact_collectri,lowdata:16,0.8209823431012285,0.020158175379908046
dc_tfact_pca,lowdata:16,0.7480865088128246,0.012027241588767397
rand_proj,lowdata:16,0.718881157242821,0.019752687102503674
pca,noise:0.3,0.7697532691594612,0.017661033599724794
baseline,noise:0.3,0.7085231763527201,0.018310657120167363
grn_real,noise:0.3,0.6220716458287329,0.02144321716213582
grn_rewired,noise:0.3,0.569386231014714,0.02761543716411346
grn_soft:0.001,noise:0.3,0.7169368448126557,0.009742496446663241
dc_tfact,noise:0.3,0.7204459744360673,0.02000368474697315
dc_tfact_rewired,noise:0.3,0.7027345466596241,0.038163725603585955
dc_tfact_collectri,noise:0.3,0.7842006470997183,0.023872927864057633
dc_tfact_pca,noise:0.3,0.6858049176829363,0.01365387945250041
rand_proj,noise:0.3,0.6481755115247644,0.025727349884680614
pca,noise:0.1,0.6831304995857157,0.02006417177820019
baseline,noise:0.1,0.6569248242387428,0.010292537296941465
grn_real,noise:0.1,0.5325501538370296,0.023265334815807354
grn_rewired,noise:0.1,0.4839976016624825,0.022346403671846062
grn_soft:0.001,noise:0.1,0.6617036714301487,0.01938595578261049
dc_tfact,noise:0.1,0.6274196742419921,0.023106580051793158
dc_tfact_rewired,noise:0.1,0.5975816429314342,0.007851121983379988
dc_tfact_collectri,noise:0.1,0.6928863110795269,0.01847693237756607
dc_tfact_pca,noise:0.1,0.5806388233713311,0.030048067282245797
rand_proj,noise:0.1,0.5423046651319097,0.00823924613128106
grn_random,full,0.7662332134535124,0.010836672290700285
grn_sign_shuffled,full,0.702010678668883,0.004390725455347658
grn_soft:0.01,full,0.6374410824325214,0.013227024633195122
