model,condition,task,mean,std,n
pca,full,cell_type,0.8677711121581091,0.003626689214924539,2
baseline,full,cell_type,0.7906888881672165,0.010143536488737837,2
grn_real,full,cell_type,0.699213367907674,0.013625656042805023,2
grn_rewired,full,cell_type,0.6498271078766436,0.0208130807387773,2
grn_sign_shuffled,full,cell_type,0.6992717362903121,0.005386308680426333,2
grn_random,full,cell_type,0.7308918289599404,0.007186760607813258,2
pca,full,disease,0.42512465847601,0.0013934484336403097,2
baseline,full,disease,0.4921725565395126,0.0070114692888158525,2
grn_real,full,disease,0.48408058797562314,0.04121995534858558,2
grn_rewired,full,disease,0.445781405582659,0.03329401325652706,2
grn_sign_shuffled,full,disease,0.4880832865690934,0.003941724950914605,2
grn_random,full,disease,0.45100226683423617,0.030814219502996926,2
baseline,lowdata:4,cell_type,0.5401396536915459,0.019965947114045146,2
grn_real,lowdata:4,cell_type,0.48516136277237376,0.010689711043756045,2
grn_rewired,lowdata:4,cell_type,0.45722267340024025,0.00826681049048203,2
baseline,lowdata:8,cell_type,0.6475083032665075,0.028301497344531357,2
grn_real,lowdata:8,cell_type,0.5530388263978527,0.027114825591712577,2
grn_rewired,lowdata:8,cell_type,0.5251611073889442,0.019978526273236208,2
baseline,lowdata:16,cell_type,0.7270870600585906,0.01761387797577063,2
grn_real,lowdata:16,cell_type,0.6534895190235748,0.01651478535224654,2
grn_rewired,lowdata:16,cell_type,0.5986195049647063,0.0272077450699742,2
baseline,lowdata:4,disease,0.4652057539080021,0.012636326961519811,2
grn_real,lowdata:4,disease,0.4492959017521127,0.01113675542694198,2
grn_rewired,lowdata:4,disease,0.4475223114557849,0.011282512190163768,2
baseline,lowdata:8,disease,0.43572712975543837,0.036650831963666836,2
grn_real,lowdata:8,disease,0.4343079279232867,0.03463080416688452,2
grn_rewired,lowdata:8,disease,0.4173076499662772,0.018361352579131934,2
baseline,lowdata:16,disease,0.421988490576934,0.000401592204390816,2
grn_real,lowdata:16,disease,0.4722039037080891,0.036677149556304245,2
grn_rewired,lowdata:16,disease,0.44293707229615953,0.024909177202736194,2
baseline,noise:0.3,cell_type,0.7425195889944847,0.0019507504256461305,2
grn_real,noise:0.3,cell_type,0.6088878920643626,0.008355379284171904,2
grn_rewired,noise:0.3,cell_type,0.5450094430852945,0.012273367785751721,2
baseline,noise:0.1,cell_type,0.6611841583990803,0.021112718205685665,2
grn_real,noise:0.1,cell_type,0.5088162318704115,0.034304699829467655,2
grn_rewired,noise:0.1,cell_type,0.4478343398374358,0.020955584605739375,2
baseline,noise:0.3,disease,0.4787686442178146,0.017287138345747716,2
grn_real,noise:0.3,disease,0.48696126768824777,0.0007212259532767273,2
grn_rewired,noise:0.3,disease,0.454556230949688,0.04593521100814582,2
baseline,noise:0.1,disease,0.48200433573152013,0.00984986705720825,2
grn_real,noise:0.1,disease,0.47465912250733444,0.004785422535170586,2
grn_rewired,noise:0.1,disease,0.4622799584149457,0.00794972526523624,2
