model,condition,mean,std
pca,full,0.8619083713855232,0.00637916539518643
baseline,full,0.7936165905775276,0.007564525123906046
dc_tfact,full,0.864496605561621,0.0
dc_tfact_pca,full,0.7926592100709747,0.0
grn_soft:0.001,full,0.7540120992366194,0.008188956157803911
grn_soft:0.01,full,0.6188277022995451,0.00882170876543393
grn_real,full,0.7135403660118965,0.014941012555608126
pca,lowdata:4,0.5124601945059493,0.02451004203142273
baseline,lowdata:4,0.5509908864931612,0.022855044515296807
dc_tfact,lowdata:4,0.614742876246411,0.030899642197551362
dc_tfact_pca,lowdata:4,0.513314136323215,0.017814933034328868
grn_soft:0.001,lowdata:4,0.5314411295308238,0.038061127628120715
grn_soft:0.01,lowdata:4,0.45055977866839103,0.03313839331271201
grn_real,lowdata:4,0.5004729746368874,0.019746561105442106
pca,lowdata:8,0.6530535876376047,0.022638460505479806
baseline,lowdata:8,0.6395693798622132,0.022361007919573624
dc_tfact,lowdata:8,0.6910830717147494,0.015795069343941797
dc_tfact_pca,lowdata:8,0.6331438407962626,0.017167480279430724
grn_soft:0.001,lowdata:8,0.6369736079499421,0.033938984365919654
grn_soft:0.01,lowdata:8,0.49776758721652714,0.013390277514304633
grn_real,lowdata:8,0.5686419242132639,0.022112581760590642
pca,lowdata:16,0.7825545275378417,0.010859467100464199
baseline,lowdata:16,0.7308260132276517,0.017370004057016507
dc_tfact,lowdata:16,0.7837456515276949,0.012896271088379064
dc_tfact_pca,lowdata:16,0.7283365378847733,0.011544977339098705
grn_soft:0.001,lowdata:16,0.7170406814616244,0.012101508079147788
grn_soft:0.01,lowdata:16,0.575146363451903,0.022461263499955534
grn_real,lowdata:16,0.660192739144415,0.012955918356487102
pca,noise:0.3,0.7692364112209313,0.012037768491410002
baseline,noise:0.3,0.7326916759160694,0.014635716092398528
dc_tfact,noise:0.3,0.7298877392897206,0.016590317172909284
dc_tfact_pca,noise:0.3,0.6852411455990404,0.020424474784976228
grn_soft:0.001,noise:0.3,0.7209332013837834,0.016727242896317433
grn_soft:0.01,noise:0.3,0.6612178486600006,0.01195048534336727
grn_real,noise:0.3,0.5973430442966046,0.012345698191179953
pca,noise:0.1,0.6831712762243116,0.01713180145502279
baseline,noise:0.1,0.6634816623385127,0.018839751570844478
dc_tfact,noise:0.1,0.6226031794282703,0.0209599127601933
dc_tfact_pca,noise:0.1,0.5716719712806401,0.025085539660052777
grn_soft:0.001,noise:0.1,0.6716646569840988,0.012259035167963709
grn_soft:0.01,noise:0.1,0.5985861320505278,0.003504720923327315
grn_real,noise:0.1,0.49844330135995235,0.024014065614819474
